year,sex,nuts_3_region,STATISTIC,value
2024,Female,Border,PEA29C01,31.8
2023,Female,Border,PEA29C01,31.4
2024,Both sexes,Border,PEA29C01,31.2
2024,Female,West,PEA29C01,30.9
2023,Both sexes,Border,PEA29C01,30.8
2024,Male,Border,PEA29C01,30.7
2023,Female,West,PEA29C01,30.3
2024,Both sexes,West,PEA29C01,30.1
2023,Male,Border,PEA29C01,30.1
2023,Female,Mid-West,PEA29C01,30.0
2024,Female,Mid-West,PEA29C01,29.9
2024,Female,South-East,PEA29C01,29.9
2023,Both sexes,West,PEA29C01,29.6
2024,Both sexes,Mid-West,PEA29C01,29.4
2024,Male,West,PEA29C01,29.3
2024,Both sexes,South-East,PEA29C01,29.3
2023,Both sexes,Mid-West,PEA29C01,29.3
2023,Female,South-East,PEA29C01,29.1
2024,Female,South-West,PEA29C01,29.1
2024,Male,Mid-West,PEA29C01,28.9
2023,Male,West,PEA29C01,28.9
2023,Both sexes,South-East,PEA29C01,28.7
2023,Female,South-West,PEA29C01,28.7
2024,Male,South-East,PEA29C01,28.7
2023,Male,Mid-West,PEA29C01,28.6
2023,Male,South-East,PEA29C01,28.4
2024,Both sexes,South-West,PEA29C01,28.3
2023,Both sexes,South-West,PEA29C01,27.8
2024,Male,South-West,PEA29C01,27.5
2024,Female,Ireland,PEA29C01,27.3
2023,Male,South-West,PEA29C01,26.9
2023,Female,Ireland,PEA29C01,26.8
2024,Female,Midland,PEA29C01,26.5
2023,Female,Midland,PEA29C01,26.4
2024,Both sexes,Ireland,PEA29C01,26.2
2024,Both sexes,Midland,PEA29C01,25.9
2023,Both sexes,Ireland,PEA29C01,25.8
2023,Both sexes,Midland,PEA29C01,25.7
2024,Male,Midland,PEA29C01,25.3
2024,Male,Ireland,PEA29C01,25.1
2023,Male,Midland,PEA29C01,25.0
2023,Male,Ireland,PEA29C01,24.7
2024,Female,Mid-East,PEA29C01,24.7
2023,Female,Mid-East,PEA29C01,23.9
2024,Both sexes,Mid-East,PEA29C01,23.8
2024,Female,Dublin,PEA29C01,23.8
2023,Female,Dublin,PEA29C01,23.5
2023,Both sexes,Mid-East,PEA29C01,23.1
2024,Male,Mid-East,PEA29C01,22.8
2023,Male,Mid-East,PEA29C01,22.3
2024,Both sexes,Dublin,PEA29C01,22.0
2023,Both sexes,Dublin,PEA29C01,21.6
2024,Male,Dublin,PEA29C01,20.2
2023,Male,Dublin,PEA29C01,19.7
