STATISTIC,STATISTIC_label,statistic,TLIST(A1),TLIST(A1)_label,year,C03788V04538,C03788V04538_label,nuts_3_region,value
VSA108C01,Crude death rate,Crude death rate,2020,2020,2020,IE0,Ireland,Ireland,6.5
VSA108C01,Crude death rate,Crude death rate,2020,2020,2020,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,7.6
VSA108C01,Crude death rate,Crude death rate,2020,2020,2020,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,6.8
VSA108C01,Crude death rate,Crude death rate,2020,2020,2020,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,7.0
VSA108C01,Crude death rate,Crude death rate,2020,2020,2020,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,6.7
VSA108C01,Crude death rate,Crude death rate,2020,2020,2020,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,7.0
VSA108C01,Crude death rate,Crude death rate,2020,2020,2020,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,6.3
VSA108C01,Crude death rate,Crude death rate,2020,2020,2020,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,5.4
VSA108C01,Crude death rate,Crude death rate,2020,2020,2020,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,Midlands,6.0
VSA108C01,Crude death rate,Crude death rate,2021,2021,2021,IE0,Ireland,Ireland,6.9
VSA108C01,Crude death rate,Crude death rate,2021,2021,2021,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,7.7
VSA108C01,Crude death rate,Crude death rate,2021,2021,2021,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,7.4
VSA108C01,Crude death rate,Crude death rate,2021,2021,2021,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,7.8
VSA108C01,Crude death rate,Crude death rate,2021,2021,2021,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,7.3
VSA108C01,Crude death rate,Crude death rate,2021,2021,2021,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,7.5
VSA108C01,Crude death rate,Crude death rate,2021,2021,2021,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,6.4
VSA108C01,Crude death rate,Crude death rate,2021,2021,2021,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,5.6
VSA108C01,Crude death rate,Crude death rate,2021,2021,2021,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,Midlands,6.7
VSA108C01,Crude death rate,Crude death rate,2022,2022,2022,IE0,Ireland,Ireland,6.9
VSA108C01,Crude death rate,Crude death rate,2022,2022,2022,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,7.9
VSA108C01,Crude death rate,Crude death rate,2022,2022,2022,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,7.7
VSA108C01,Crude death rate,Crude death rate,2022,2022,2022,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,7.9
VSA108C01,Crude death rate,Crude death rate,2022,2022,2022,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,7.8
VSA108C01,Crude death rate,Crude death rate,2022,2022,2022,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,7.4
VSA108C01,Crude death rate,Crude death rate,2022,2022,2022,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,6.3
VSA108C01,Crude death rate,Crude death rate,2022,2022,2022,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,5.4
VSA108C01,Crude death rate,Crude death rate,2022,2022,2022,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,Midlands,6.8
VSA108C01,Crude death rate,Crude death rate,2023,2023,2023,IE0,Ireland,Ireland,6.7
VSA108C01,Crude death rate,Crude death rate,2023,2023,2023,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,Border,7.5
VSA108C01,Crude death rate,Crude death rate,2023,2023,2023,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,West,7.3
VSA108C01,Crude death rate,Crude death rate,2023,2023,2023,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,Mid-West,7.6
VSA108C01,Crude death rate,Crude death rate,2023,2023,2023,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,South-East,7.5
VSA108C01,Crude death rate,Crude death rate,2023,2023,2023,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,South-West,7.4
VSA108C01,Crude death rate,Crude death rate,2023,2023,2023,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,Dublin,6.2
VSA108C01,Crude death rate,Crude death rate,2023,2023,2023,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,Mid-East,5.5
VSA108C01,Crude death rate,Crude death rate,2023,2023,2023,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,Midlands,6.5
