year,nuts_3_region,STATISTIC,value
2022,Border,VSA108C01,7.9
2022,Mid-West,VSA108C01,7.9
2022,South-East,VSA108C01,7.8
2021,Mid-West,VSA108C01,7.8
2021,Border,VSA108C01,7.7
2022,West,VSA108C01,7.7
2023,Mid-West,VSA108C01,7.6
2020,Border,VSA108C01,7.6
2023,South-East,VSA108C01,7.5
2023,Border,VSA108C01,7.5
2021,South-West,VSA108C01,7.5
2023,South-West,VSA108C01,7.4
2022,South-West,VSA108C01,7.4
2021,West,VSA108C01,7.4
2023,West,VSA108C01,7.3
2021,South-East,VSA108C01,7.3
2020,South-West,VSA108C01,7.0
2020,Mid-West,VSA108C01,7.0
2021,Ireland,VSA108C01,6.9
2022,Ireland,VSA108C01,6.9
2022,Midlands,VSA108C01,6.8
2020,West,VSA108C01,6.8
2021,Midlands,VSA108C01,6.7
2020,South-East,VSA108C01,6.7
2023,Ireland,VSA108C01,6.7
2020,Ireland,VSA108C01,6.5
2023,Midlands,VSA108C01,6.5
2021,Dublin,VSA108C01,6.4
2022,Dublin,VSA108C01,6.3
2020,Dublin,VSA108C01,6.3
2023,Dublin,VSA108C01,6.2
2020,Midlands,VSA108C01,6.0
2021,Mid-East,VSA108C01,5.6
2023,Mid-East,VSA108C01,5.5
2022,Mid-East,VSA108C01,5.4
2020,Mid-East,VSA108C01,5.4
